"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value","padj","ontology"
"5183","GO:0002930","trabecular meshwork development",2,0,0.1,"1.00000",1,"BP"
"5184","GO:0002934","desmosome organization",12,0,0.57,"1.00000",1,"BP"
"5185","GO:0002939","tRNA N1-guanine methylation",2,0,0.1,"1.00000",1,"BP"
"5186","GO:0002940","tRNA N2-guanine methylation",2,0,0.1,"1.00000",1,"BP"
"5187","GO:0002943","tRNA dihydrouridine synthesis",1,0,0.05,"1.00000",1,"BP"
"5188","GO:0002949","tRNA threonylcarbamoyladenosine modification",3,0,0.14,"1.00000",1,"BP"
"5189","GO:0003011","involuntary skeletal muscle contraction",9,0,0.43,"1.00000",1,"BP"
"5190","GO:0003032","detection of oxygen",2,0,0.1,"1.00000",1,"BP"
"5191","GO:0003050","regulation of systemic arterial blood pressure by atrial natriuretic peptide",10,0,0.48,"1.00000",1,"BP"
"5192","GO:0003056","regulation of vascular associated smooth muscle contraction",7,0,0.33,"1.00000",1,"BP"
"5193","GO:0003062","regulation of heart rate by chemical signal",4,0,0.19,"1.00000",1,"BP"
"5194","GO:0003071","renal system process involved in regulation of systemic arterial blood pressure",14,0,0.67,"1.00000",1,"BP"
"5195","GO:0003072","renal control of peripheral vascular resistance involved in regulation of systemic arterial blood pressure",1,0,0.05,"1.00000",1,"BP"
"5196","GO:0003081","regulation of systemic arterial blood pressure by renin-angiotensin",3,0,0.14,"1.00000",1,"BP"
"5197","GO:0003084","positive regulation of systemic arterial blood pressure",8,0,0.38,"1.00000",1,"BP"
"5198","GO:0003085","negative regulation of systemic arterial blood pressure",8,0,0.38,"1.00000",1,"BP"
"5199","GO:0003093","regulation of glomerular filtration",12,0,0.57,"1.00000",1,"BP"
"5200","GO:0003096","renal sodium ion transport",9,0,0.43,"1.00000",1,"BP"
"5201","GO:0003104","positive regulation of glomerular filtration",3,0,0.14,"1.00000",1,"BP"
"5202","GO:0003116","regulation of vasoconstriction by norepinephrine",1,0,0.05,"1.00000",1,"BP"
"5203","GO:0003117","regulation of vasoconstriction by circulating norepinephrine",1,0,0.05,"1.00000",1,"BP"
"5204","GO:0003127","detection of nodal flow",2,0,0.1,"1.00000",1,"BP"
"5205","GO:0003128","heart field specification",23,0,1.1,"1.00000",1,"BP"
"5206","GO:0003129","heart induction",4,0,0.19,"1.00000",1,"BP"
"5207","GO:0003137","Notch signaling pathway involved in heart induction",4,0,0.19,"1.00000",1,"BP"
"5208","GO:0003138","primary heart field specification",16,0,0.76,"1.00000",1,"BP"
"5209","GO:0003139","secondary heart field specification",19,0,0.91,"1.00000",1,"BP"
"5210","GO:0003140","determination of left/right asymmetry in lateral mesoderm",7,0,0.33,"1.00000",1,"BP"
"5211","GO:0003146","heart jogging",18,0,0.86,"1.00000",1,"BP"
"5212","GO:0003148","outflow tract septum morphogenesis",19,0,0.91,"1.00000",1,"BP"
"5213","GO:0003149","membranous septum morphogenesis",1,0,0.05,"1.00000",1,"BP"
"5214","GO:0003150","muscular septum morphogenesis",1,0,0.05,"1.00000",1,"BP"
"5215","GO:0003154","BMP signaling pathway involved in determination of left/right symmetry",2,0,0.1,"1.00000",1,"BP"
"5216","GO:0003156","regulation of animal organ formation",13,0,0.62,"1.00000",1,"BP"
"5217","GO:0003157","endocardium development",13,0,0.62,"1.00000",1,"BP"
"5218","GO:0003159","morphogenesis of an endothelium",16,0,0.76,"1.00000",1,"BP"
"5219","GO:0003160","endocardium morphogenesis",4,0,0.19,"1.00000",1,"BP"
"5220","GO:0003161","cardiac conduction system development",15,0,0.72,"1.00000",1,"BP"
"5221","GO:0003162","atrioventricular node development",3,0,0.14,"1.00000",1,"BP"
"5222","GO:0003163","sinoatrial node development",2,0,0.1,"1.00000",1,"BP"
"5223","GO:0003164","His-Purkinje system development",2,0,0.1,"1.00000",1,"BP"
"5224","GO:0003165","Purkinje myocyte development",2,0,0.1,"1.00000",1,"BP"
"5225","GO:0003170","heart valve development",80,0,3.82,"1.00000",1,"BP"
"5226","GO:0003171","atrioventricular valve development",25,0,1.19,"1.00000",1,"BP"
"5227","GO:0003172","sinoatrial valve development",16,0,0.76,"1.00000",1,"BP"
"5228","GO:0003173","ventriculo bulbo valve development",1,0,0.05,"1.00000",1,"BP"
"5229","GO:0003174","mitral valve development",12,0,0.57,"1.00000",1,"BP"
"5230","GO:0003175","tricuspid valve development",5,0,0.24,"1.00000",1,"BP"
"5231","GO:0003176","aortic valve development",24,0,1.14,"1.00000",1,"BP"
"5232","GO:0003177","pulmonary valve development",14,0,0.67,"1.00000",1,"BP"
"5233","GO:0003178","coronary sinus valve development",1,0,0.05,"1.00000",1,"BP"
"5234","GO:0003179","heart valve morphogenesis",67,0,3.2,"1.00000",1,"BP"
"5235","GO:0003180","aortic valve morphogenesis",20,0,0.95,"1.00000",1,"BP"
"5236","GO:0003181","atrioventricular valve morphogenesis",25,0,1.19,"1.00000",1,"BP"
"5237","GO:0003182","coronary sinus valve morphogenesis",1,0,0.05,"1.00000",1,"BP"
"5238","GO:0003183","mitral valve morphogenesis",12,0,0.57,"1.00000",1,"BP"
"5239","GO:0003184","pulmonary valve morphogenesis",10,0,0.48,"1.00000",1,"BP"
"5240","GO:0003185","sinoatrial valve morphogenesis",16,0,0.76,"1.00000",1,"BP"
"5241","GO:0003186","tricuspid valve morphogenesis",5,0,0.24,"1.00000",1,"BP"
"5242","GO:0003187","ventriculo bulbo valve morphogenesis",1,0,0.05,"1.00000",1,"BP"
"5243","GO:0003188","heart valve formation",7,0,0.33,"1.00000",1,"BP"
"5244","GO:0003190","atrioventricular valve formation",6,0,0.29,"1.00000",1,"BP"
"5245","GO:0003192","mitral valve formation",1,0,0.05,"1.00000",1,"BP"
"5246","GO:0003197","endocardial cushion development",36,0,1.72,"1.00000",1,"BP"
"5247","GO:0003198","epithelial to mesenchymal transition involved in endocardial cushion formation",20,0,0.95,"1.00000",1,"BP"
"5248","GO:0003203","endocardial cushion morphogenesis",26,0,1.24,"1.00000",1,"BP"
"5249","GO:0003207","cardiac chamber formation",22,0,1.05,"1.00000",1,"BP"
"5250","GO:0003209","cardiac atrium morphogenesis",22,0,1.05,"1.00000",1,"BP"
"5251","GO:0003211","cardiac ventricle formation",22,0,1.05,"1.00000",1,"BP"
"5252","GO:0003213","cardiac right atrium morphogenesis",1,0,0.05,"1.00000",1,"BP"
"5253","GO:0003214","cardiac left ventricle morphogenesis",11,0,0.52,"1.00000",1,"BP"
"5254","GO:0003215","cardiac right ventricle morphogenesis",12,0,0.57,"1.00000",1,"BP"
"5255","GO:0003219","cardiac right ventricle formation",4,0,0.19,"1.00000",1,"BP"
"5256","GO:0003220","left ventricular cardiac muscle tissue morphogenesis",5,0,0.24,"1.00000",1,"BP"
"5257","GO:0003222","ventricular trabecula myocardium morphogenesis",10,0,0.48,"1.00000",1,"BP"
"5258","GO:0003223","ventricular compact myocardium morphogenesis",10,0,0.48,"1.00000",1,"BP"
"5259","GO:0003228","atrial cardiac muscle tissue development",17,0,0.81,"1.00000",1,"BP"
"5260","GO:0003241","growth involved in heart morphogenesis",3,0,0.14,"1.00000",1,"BP"
"5261","GO:0003242","cardiac chamber ballooning",1,0,0.05,"1.00000",1,"BP"
"5262","GO:0003243","circumferential growth involved in left ventricle morphogenesis",1,0,0.05,"1.00000",1,"BP"
"5263","GO:0003249","cell proliferation involved in heart valve morphogenesis",6,0,0.29,"1.00000",1,"BP"
"5264","GO:0003250","regulation of cell proliferation involved in heart valve morphogenesis",6,0,0.29,"1.00000",1,"BP"
"5265","GO:0003251","positive regulation of cell proliferation involved in heart valve morphogenesis",3,0,0.14,"1.00000",1,"BP"
"5266","GO:0003252","negative regulation of cell proliferation involved in heart valve morphogenesis",3,0,0.14,"1.00000",1,"BP"
"5267","GO:0003253","cardiac neural crest cell migration involved in outflow tract morphogenesis",10,0,0.48,"1.00000",1,"BP"
"5268","GO:0003260","cardioblast migration",4,0,0.19,"1.00000",1,"BP"
"5269","GO:0003262","endocardial progenitor cell migration to the midline involved in heart field formation",4,0,0.19,"1.00000",1,"BP"
"5270","GO:0003270","Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation",1,0,0.05,"1.00000",1,"BP"
"5271","GO:0003272","endocardial cushion formation",26,0,1.24,"1.00000",1,"BP"
"5272","GO:0003273","cell migration involved in endocardial cushion formation",3,0,0.14,"1.00000",1,"BP"
"5273","GO:0003274","endocardial cushion fusion",6,0,0.29,"1.00000",1,"BP"
"5274","GO:0003278","apoptotic process involved in heart morphogenesis",5,0,0.24,"1.00000",1,"BP"
"5275","GO:0003281","ventricular septum development",83,0,3.96,"1.00000",1,"BP"
"5276","GO:0003284","septum primum development",7,0,0.33,"1.00000",1,"BP"
"5277","GO:0003289","atrial septum primum morphogenesis",7,0,0.33,"1.00000",1,"BP"
"5278","GO:0003292","cardiac septum cell differentiation",2,0,0.1,"1.00000",1,"BP"
"5279","GO:0003294","atrial ventricular junction remodeling",1,0,0.05,"1.00000",1,"BP"
"5280","GO:0003303","BMP signaling pathway involved in heart jogging",2,0,0.1,"1.00000",1,"BP"
"5281","GO:0003306","Wnt signaling pathway involved in heart development",2,0,0.1,"1.00000",1,"BP"
"5282","GO:0003309","type B pancreatic cell differentiation",18,0,0.86,"1.00000",1,"BP"
"5283","GO:0003310","pancreatic A cell differentiation",3,0,0.14,"1.00000",1,"BP"
"5284","GO:0003313","heart rudiment development",6,0,0.29,"1.00000",1,"BP"
"5285","GO:0003314","heart rudiment morphogenesis",6,0,0.29,"1.00000",1,"BP"
"5286","GO:0003315","heart rudiment formation",6,0,0.29,"1.00000",1,"BP"
"5287","GO:0003318","cell migration to the midline involved in heart development",6,0,0.29,"1.00000",1,"BP"
"5288","GO:0003319","cardioblast migration to the midline involved in heart rudiment formation",6,0,0.29,"1.00000",1,"BP"
"5289","GO:0003321","positive regulation of blood pressure by epinephrine-norepinephrine",3,0,0.14,"1.00000",1,"BP"
"5290","GO:0003322","pancreatic A cell development",1,0,0.05,"1.00000",1,"BP"
"5291","GO:0003323","type B pancreatic cell development",15,0,0.72,"1.00000",1,"BP"
"5292","GO:0003330","regulation of extracellular matrix constituent secretion",10,0,0.48,"1.00000",1,"BP"
"5293","GO:0003331","positive regulation of extracellular matrix constituent secretion",5,0,0.24,"1.00000",1,"BP"
"5294","GO:0003332","negative regulation of extracellular matrix constituent secretion",3,0,0.14,"1.00000",1,"BP"
"5295","GO:0003334","keratinocyte development",23,0,1.1,"1.00000",1,"BP"
"5296","GO:0003337","mesenchymal to epithelial transition involved in metanephros morphogenesis",9,0,0.43,"1.00000",1,"BP"
"5297","GO:0003338","metanephros morphogenesis",13,0,0.62,"1.00000",1,"BP"
"5298","GO:0003339","regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis",9,0,0.43,"1.00000",1,"BP"
"5299","GO:0003340","negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis",9,0,0.43,"1.00000",1,"BP"
"5300","GO:0003342","proepicardium development",2,0,0.1,"1.00000",1,"BP"
"5301","GO:0003343","septum transversum development",2,0,0.1,"1.00000",1,"BP"
"5302","GO:0003344","pericardium morphogenesis",6,0,0.29,"1.00000",1,"BP"
"5303","GO:0003348","cardiac endothelial cell differentiation",10,0,0.48,"1.00000",1,"BP"
"5304","GO:0003350","pulmonary myocardium development",4,0,0.19,"1.00000",1,"BP"
"5305","GO:0003352","regulation of cilium movement",14,0,0.67,"1.00000",1,"BP"
"5306","GO:0003353","positive regulation of cilium movement",1,0,0.05,"1.00000",1,"BP"
"5307","GO:0003354","negative regulation of cilium movement",1,0,0.05,"1.00000",1,"BP"
"5308","GO:0003356","regulation of cilium beat frequency",10,0,0.48,"1.00000",1,"BP"
"5309","GO:0003357","noradrenergic neuron differentiation",2,0,0.1,"1.00000",1,"BP"
"5310","GO:0003360","brainstem development",4,0,0.19,"1.00000",1,"BP"
"5311","GO:0003365","establishment of cell polarity involved in ameboidal cell migration",2,0,0.1,"1.00000",1,"BP"
"5312","GO:0003366","cell-matrix adhesion involved in ameboidal cell migration",1,0,0.05,"1.00000",1,"BP"
"5313","GO:0003376","sphingosine-1-phosphate receptor signaling pathway",9,0,0.43,"1.00000",1,"BP"
"5314","GO:0003383","apical constriction",7,0,0.33,"1.00000",1,"BP"
"5315","GO:0003400","regulation of COPII vesicle coating",37,0,1.76,"1.00000",1,"BP"
"5316","GO:0003402","planar cell polarity pathway involved in axis elongation",6,0,0.29,"1.00000",1,"BP"
"5317","GO:0003404","optic vesicle morphogenesis",1,0,0.05,"1.00000",1,"BP"
"5318","GO:0003406","retinal pigment epithelium development",5,0,0.24,"1.00000",1,"BP"
"5319","GO:0003412","establishment of epithelial cell apical/basal polarity involved in camera-type eye morphogenesis",1,0,0.05,"1.00000",1,"BP"
"5320","GO:0003415","chondrocyte hypertrophy",2,0,0.1,"1.00000",1,"BP"
"5321","GO:0003419","growth plate cartilage chondrocyte proliferation",3,0,0.14,"1.00000",1,"BP"
"5322","GO:0003420","regulation of growth plate cartilage chondrocyte proliferation",2,0,0.1,"1.00000",1,"BP"
"5323","GO:0003422","growth plate cartilage morphogenesis",15,0,0.72,"1.00000",1,"BP"
"5324","GO:0003428","chondrocyte intercalation involved in growth plate cartilage morphogenesis",15,0,0.72,"1.00000",1,"BP"
"5325","GO:0003430","growth plate cartilage chondrocyte growth",1,0,0.05,"1.00000",1,"BP"
"5326","GO:0003431","growth plate cartilage chondrocyte development",1,0,0.05,"1.00000",1,"BP"
"5327","GO:0003433","chondrocyte development involved in endochondral bone morphogenesis",4,0,0.19,"1.00000",1,"BP"
"5328","GO:0005513","detection of calcium ion",14,0,0.67,"1.00000",1,"BP"
"5329","GO:0005981","regulation of glycogen catabolic process",4,0,0.19,"1.00000",1,"BP"
"5330","GO:0005982","starch metabolic process",9,0,0.43,"1.00000",1,"BP"
"5331","GO:0005983","starch catabolic process",9,0,0.43,"1.00000",1,"BP"
"5332","GO:0005984","disaccharide metabolic process",16,0,0.76,"1.00000",1,"BP"
"5333","GO:0005985","sucrose metabolic process",3,0,0.14,"1.00000",1,"BP"
"5334","GO:0005986","sucrose biosynthetic process",2,0,0.1,"1.00000",1,"BP"
"5335","GO:0005988","lactose metabolic process",3,0,0.14,"1.00000",1,"BP"
"5336","GO:0005989","lactose biosynthetic process",3,0,0.14,"1.00000",1,"BP"
"5337","GO:0005997","xylulose metabolic process",1,0,0.05,"1.00000",1,"BP"
"5338","GO:0006000","fructose metabolic process",21,0,1,"1.00000",1,"BP"
"5339","GO:0006004","fucose metabolic process",3,0,0.14,"1.00000",1,"BP"
"5340","GO:0006011","UDP-glucose metabolic process",4,0,0.19,"1.00000",1,"BP"
"5341","GO:0006012","galactose metabolic process",16,0,0.76,"1.00000",1,"BP"
"5342","GO:0006013","mannose metabolic process",40,0,1.91,"1.00000",1,"BP"
"5343","GO:0006014","D-ribose metabolic process",5,0,0.24,"1.00000",1,"BP"
"5344","GO:0006015","5-phosphoribose 1-diphosphate biosynthetic process",17,0,0.81,"1.00000",1,"BP"
"5345","GO:0006030","chitin metabolic process",13,0,0.62,"1.00000",1,"BP"
"5346","GO:0006031","chitin biosynthetic process",1,0,0.05,"1.00000",1,"BP"
"5347","GO:0006032","chitin catabolic process",12,0,0.57,"1.00000",1,"BP"
"5348","GO:0006037","cell wall chitin metabolic process",2,0,0.1,"1.00000",1,"BP"
"5349","GO:0006038","cell wall chitin biosynthetic process",1,0,0.05,"1.00000",1,"BP"
"5350","GO:0006039","cell wall chitin catabolic process",1,0,0.05,"1.00000",1,"BP"
"5351","GO:0006040","amino sugar metabolic process",50,0,2.38,"1.00000",1,"BP"
"5352","GO:0006041","glucosamine metabolic process",9,0,0.43,"1.00000",1,"BP"
"5353","GO:0006043","glucosamine catabolic process",4,0,0.19,"1.00000",1,"BP"
"5354","GO:0006044","N-acetylglucosamine metabolic process",23,0,1.1,"1.00000",1,"BP"
"5355","GO:0006045","N-acetylglucosamine biosynthetic process",4,0,0.19,"1.00000",1,"BP"
"5356","GO:0006046","N-acetylglucosamine catabolic process",4,0,0.19,"1.00000",1,"BP"
"5357","GO:0006047","UDP-N-acetylglucosamine metabolic process",14,0,0.67,"1.00000",1,"BP"
"5358","GO:0006048","UDP-N-acetylglucosamine biosynthetic process",9,0,0.43,"1.00000",1,"BP"
"5359","GO:0006049","UDP-N-acetylglucosamine catabolic process",1,0,0.05,"1.00000",1,"BP"
"5360","GO:0006050","mannosamine metabolic process",2,0,0.1,"1.00000",1,"BP"
"5361","GO:0006051","N-acetylmannosamine metabolic process",2,0,0.1,"1.00000",1,"BP"
"5362","GO:0006054","N-acetylneuraminate metabolic process",13,0,0.62,"1.00000",1,"BP"
"5363","GO:0006055","CMP-N-acetylneuraminate biosynthetic process",3,0,0.14,"1.00000",1,"BP"
"5364","GO:0006059","hexitol metabolic process",1,0,0.05,"1.00000",1,"BP"
"5365","GO:0006060","sorbitol metabolic process",1,0,0.05,"1.00000",1,"BP"
"5366","GO:0006062","sorbitol catabolic process",1,0,0.05,"1.00000",1,"BP"
"5367","GO:0006065","UDP-glucuronate biosynthetic process",1,0,0.05,"1.00000",1,"BP"
"5368","GO:0006067","ethanol metabolic process",6,0,0.29,"1.00000",1,"BP"
"5369","GO:0006068","ethanol catabolic process",3,0,0.14,"1.00000",1,"BP"
"5370","GO:0006069","ethanol oxidation",3,0,0.14,"1.00000",1,"BP"
"5371","GO:0006071","glycerol metabolic process",42,0,2,"1.00000",1,"BP"
"5372","GO:0006074","(1->3)-beta-D-glucan metabolic process",21,0,1,"1.00000",1,"BP"
"5373","GO:0006075","(1->3)-beta-D-glucan biosynthetic process",21,0,1,"1.00000",1,"BP"
"5374","GO:0006081","cellular aldehyde metabolic process",54,0,2.58,"1.00000",1,"BP"
"5375","GO:0006085","acetyl-CoA biosynthetic process",25,0,1.19,"1.00000",1,"BP"
"5376","GO:0006086","acetyl-CoA biosynthetic process from pyruvate",20,0,0.95,"1.00000",1,"BP"
"5377","GO:0006097","glyoxylate cycle",2,0,0.1,"1.00000",1,"BP"
"5378","GO:0006102","isocitrate metabolic process",5,0,0.24,"1.00000",1,"BP"
"5379","GO:0006103","2-oxoglutarate metabolic process",37,0,1.76,"1.00000",1,"BP"
"5380","GO:0006104","succinyl-CoA metabolic process",34,0,1.62,"1.00000",1,"BP"
"5381","GO:0006105","succinate metabolic process",4,0,0.19,"1.00000",1,"BP"
"5382","GO:0006106","fumarate metabolic process",2,0,0.1,"1.00000",1,"BP"
"5383","GO:0006113","fermentation",1,0,0.05,"1.00000",1,"BP"
"5384","GO:0006114","glycerol biosynthetic process",2,0,0.1,"1.00000",1,"BP"
"5385","GO:0006116","NADH oxidation",2,0,0.1,"1.00000",1,"BP"
"5386","GO:0006117","acetaldehyde metabolic process",1,0,0.05,"1.00000",1,"BP"
"5387","GO:0006120","mitochondrial electron transport, NADH to ubiquinone",39,0,1.86,"1.00000",1,"BP"
"5388","GO:0006121","mitochondrial electron transport, succinate to ubiquinone",4,0,0.19,"1.00000",1,"BP"
"5389","GO:0006127","glycerophosphate shuttle",2,0,0.1,"1.00000",1,"BP"
"5390","GO:0006145","purine nucleobase catabolic process",7,0,0.33,"1.00000",1,"BP"
"5391","GO:0006147","guanine catabolic process",7,0,0.33,"1.00000",1,"BP"
"5392","GO:0006148","inosine catabolic process",11,0,0.52,"1.00000",1,"BP"
"5393","GO:0006149","deoxyinosine catabolic process",7,0,0.33,"1.00000",1,"BP"
"5394","GO:0006152","purine nucleoside catabolic process",25,0,1.19,"1.00000",1,"BP"
"5395","GO:0006154","adenosine catabolic process",15,0,0.72,"1.00000",1,"BP"
"5396","GO:0006157","deoxyadenosine catabolic process",7,0,0.33,"1.00000",1,"BP"
"5397","GO:0006161","deoxyguanosine catabolic process",7,0,0.33,"1.00000",1,"BP"
"5398","GO:0006170","dAMP biosynthetic process",3,0,0.14,"1.00000",1,"BP"
"5399","GO:0006172","ADP biosynthetic process",4,0,0.19,"1.00000",1,"BP"
"5400","GO:0006175","dATP biosynthetic process",3,0,0.14,"1.00000",1,"BP"
"5401","GO:0006177","GMP biosynthetic process",27,0,1.29,"1.00000",1,"BP"
"5402","GO:0006178","guanine salvage",2,0,0.1,"1.00000",1,"BP"
"5403","GO:0006185","dGDP biosynthetic process",1,0,0.05,"1.00000",1,"BP"
"5404","GO:0006188","IMP biosynthetic process",29,0,1.38,"1.00000",1,"BP"
"5405","GO:0006189","'de novo' IMP biosynthetic process",7,0,0.33,"1.00000",1,"BP"
"5406","GO:0006196","AMP catabolic process",22,0,1.05,"1.00000",1,"BP"
"5407","GO:0006202","GMP catabolic process to guanine",2,0,0.1,"1.00000",1,"BP"
"5408","GO:0006203","dGTP catabolic process",12,0,0.57,"1.00000",1,"BP"
"5409","GO:0006204","IMP catabolic process",11,0,0.52,"1.00000",1,"BP"
"5410","GO:0006207","'de novo' pyrimidine nucleobase biosynthetic process",14,0,0.67,"1.00000",1,"BP"
"5411","GO:0006208","pyrimidine nucleobase catabolic process",3,0,0.14,"1.00000",1,"BP"
"5412","GO:0006210","thymine catabolic process",3,0,0.14,"1.00000",1,"BP"
"5413","GO:0006211","5-methylcytosine catabolic process",5,0,0.24,"1.00000",1,"BP"
"5414","GO:0006213","pyrimidine nucleoside metabolic process",10,0,0.48,"1.00000",1,"BP"
"5415","GO:0006218","uridine catabolic process",1,0,0.05,"1.00000",1,"BP"
"5416","GO:0006222","UMP biosynthetic process",19,0,0.91,"1.00000",1,"BP"
"5417","GO:0006225","UDP biosynthetic process",6,0,0.29,"1.00000",1,"BP"
"5418","GO:0006226","dUMP biosynthetic process",3,0,0.14,"1.00000",1,"BP"
"5419","GO:0006227","dUDP biosynthetic process",1,0,0.05,"1.00000",1,"BP"
"5420","GO:0006233","dTDP biosynthetic process",1,0,0.05,"1.00000",1,"BP"
"5421","GO:0006244","pyrimidine nucleotide catabolic process",13,0,0.62,"1.00000",1,"BP"
"5422","GO:0006248","CMP catabolic process",2,0,0.1,"1.00000",1,"BP"
"5423","GO:0006249","dCMP catabolic process",2,0,0.1,"1.00000",1,"BP"
"5424","GO:0006253","dCTP catabolic process",1,0,0.05,"1.00000",1,"BP"
"5425","GO:0006254","CTP catabolic process",1,0,0.05,"1.00000",1,"BP"
"5426","GO:0006256","UDP catabolic process",3,0,0.14,"1.00000",1,"BP"
"5427","GO:0006258","UDP-glucose catabolic process",2,0,0.1,"1.00000",1,"BP"
"5428","GO:0006264","mitochondrial DNA replication",17,0,0.81,"1.00000",1,"BP"
"5429","GO:0006269","DNA replication, synthesis of RNA primer",1,0,0.05,"1.00000",1,"BP"
"5430","GO:0006271","DNA strand elongation involved in DNA replication",7,0,0.33,"1.00000",1,"BP"
"5431","GO:0006272","leading strand elongation",1,0,0.05,"1.00000",1,"BP"
"5432","GO:0006273","lagging strand elongation",3,0,0.14,"1.00000",1,"BP"
"5433","GO:0006274","DNA replication termination",1,0,0.05,"1.00000",1,"BP"
"5434","GO:0006278","RNA-templated DNA biosynthetic process",220,0,10.49,"1.00000",1,"BP"
"5435","GO:0006283","transcription-coupled nucleotide-excision repair",13,0,0.62,"1.00000",1,"BP"
"5436","GO:0006284","base-excision repair",39,0,1.86,"1.00000",1,"BP"
"5437","GO:0006285","base-excision repair, AP site formation",8,0,0.38,"1.00000",1,"BP"
"5438","GO:0006287","base-excision repair, gap-filling",4,0,0.19,"1.00000",1,"BP"
"5439","GO:0006288","base-excision repair, DNA ligation",2,0,0.1,"1.00000",1,"BP"
"5440","GO:0006289","nucleotide-excision repair",99,0,4.72,"1.00000",1,"BP"
"5441","GO:0006290","pyrimidine dimer repair",8,0,0.38,"1.00000",1,"BP"
"5442","GO:0006294","nucleotide-excision repair, preincision complex assembly",4,0,0.19,"1.00000",1,"BP"
"5443","GO:0006297","nucleotide-excision repair, DNA gap filling",2,0,0.1,"1.00000",1,"BP"
"5444","GO:0006301","postreplication repair",32,0,1.53,"1.00000",1,"BP"
"5445","GO:0006303","double-strand break repair via nonhomologous end joining",58,0,2.77,"1.00000",1,"BP"
"5446","GO:0006305","DNA alkylation",58,0,2.77,"1.00000",1,"BP"
"5447","GO:0006306","DNA methylation",58,0,2.77,"1.00000",1,"BP"
"5448","GO:0006307","DNA dealkylation involved in DNA repair",14,0,0.67,"1.00000",1,"BP"
"5449","GO:0006308","DNA catabolic process",21,0,1,"1.00000",1,"BP"
"5450","GO:0006309","apoptotic DNA fragmentation",13,0,0.62,"1.00000",1,"BP"
"5451","GO:0006313","transposition, DNA-mediated",33,0,1.57,"1.00000",1,"BP"
"5452","GO:0006335","DNA replication-dependent chromatin assembly",6,0,0.29,"1.00000",1,"BP"
"5453","GO:0006337","nucleosome disassembly",38,0,1.81,"1.00000",1,"BP"
"5454","GO:0006349","regulation of gene expression by genomic imprinting",16,0,0.76,"1.00000",1,"BP"
"5455","GO:0006356","regulation of transcription by RNA polymerase I",49,0,2.34,"1.00000",1,"BP"
"5456","GO:0006360","transcription by RNA polymerase I",69,0,3.29,"1.00000",1,"BP"
"5457","GO:0006361","transcription initiation at RNA polymerase I promoter",20,0,0.95,"1.00000",1,"BP"
"5458","GO:0006362","transcription elongation by RNA polymerase I",9,0,0.43,"1.00000",1,"BP"
"5459","GO:0006363","termination of RNA polymerase I transcription",10,0,0.48,"1.00000",1,"BP"
"5460","GO:0006376","mRNA splice site selection",116,0,5.53,"1.00000",1,"BP"
"5461","GO:0006382","adenosine to inosine editing",17,0,0.81,"1.00000",1,"BP"
"5462","GO:0006384","transcription initiation at RNA polymerase III promoter",9,0,0.43,"1.00000",1,"BP"
"5463","GO:0006386","termination of RNA polymerase III transcription",3,0,0.14,"1.00000",1,"BP"
"5464","GO:0006390","mitochondrial transcription",20,0,0.95,"1.00000",1,"BP"
"5465","GO:0006391","transcription initiation at mitochondrial promoter",6,0,0.29,"1.00000",1,"BP"
"5466","GO:0006393","termination of mitochondrial transcription",4,0,0.19,"1.00000",1,"BP"
"5467","GO:0006398","mRNA 3'-end processing by stem-loop binding and cleavage",4,0,0.19,"1.00000",1,"BP"
"5468","GO:0006400","tRNA modification",89,0,4.25,"1.00000",1,"BP"
"5469","GO:0006404","RNA import into nucleus",12,0,0.57,"1.00000",1,"BP"
"5470","GO:0006405","RNA export from nucleus",126,0,6.01,"1.00000",1,"BP"
"5471","GO:0006406","mRNA export from nucleus",94,0,4.48,"1.00000",1,"BP"
"5472","GO:0006407","rRNA export from nucleus",2,0,0.1,"1.00000",1,"BP"
"5473","GO:0006408","snRNA export from nucleus",7,0,0.33,"1.00000",1,"BP"
"5474","GO:0006409","tRNA export from nucleus",1,0,0.05,"1.00000",1,"BP"
"5475","GO:0006415","translational termination",37,0,1.76,"1.00000",1,"BP"
"5476","GO:0006419","alanyl-tRNA aminoacylation",4,0,0.19,"1.00000",1,"BP"
"5477","GO:0006420","arginyl-tRNA aminoacylation",2,0,0.1,"1.00000",1,"BP"
"5478","GO:0006421","asparaginyl-tRNA aminoacylation",12,0,0.57,"1.00000",1,"BP"
"5479","GO:0006422","aspartyl-tRNA aminoacylation",4,0,0.19,"1.00000",1,"BP"
"5480","GO:0006423","cysteinyl-tRNA aminoacylation",4,0,0.19,"1.00000",1,"BP"
"5481","GO:0006424","glutamyl-tRNA aminoacylation",12,0,0.57,"1.00000",1,"BP"
"5482","GO:0006425","glutaminyl-tRNA aminoacylation",2,0,0.1,"1.00000",1,"BP"
"5483","GO:0006426","glycyl-tRNA aminoacylation",3,0,0.14,"1.00000",1,"BP"
"5484","GO:0006427","histidyl-tRNA aminoacylation",4,0,0.19,"1.00000",1,"BP"
"5485","GO:0006428","isoleucyl-tRNA aminoacylation",7,0,0.33,"1.00000",1,"BP"
